addr,n,hold_med,train_pnl,hold_pnl,sharpe,t_stat,top_coin
0x83207d0fb015358d82c44a19099bb93f514e7d78,126,63.27283333333333,3713.33770499,3239.01286118,5.267405455428615,3.924426759177802,@107
0x5beae772444a36572bc7e26040988edc88e7a02f,2777,223.07380833333332,21878.653132,7310.825057,5.254521870215339,4.001586134321833,ETH
0xf4fa6ea7cb31d95bbe61121ba827602c17e27a7a,595,762.1389416666666,8520.65490578,2336.599751,5.2485119655957515,4.463408808827877,xyz:COPPER
0x23d391b83c595de42aeb6b33d2f2488d56321254,1160,1175.86465,25755.41543944,3220.48787769,5.243093476843418,4.057382011662604,HYPE
0x59ccd188a84302584a0c2346926cb9084ed27413,1520,61.221266666666665,3969.95452317,2158.17977227,5.235569785130874,4.149393847552446,BTC
0x333ce0361916b87dbc714ce673fa830c9fb8dc71,7787,59.08773333333333,12092.976566,14712.52287,5.203711484513306,5.38303069160786,BTC
0x560a2edd994f2ba4883cdf8e0d164558d8c803ac,5018,91.66338333333333,12658.83572874,10473.940861,5.1535560141779335,3.6072635202155845,xyz:PURRDAT
0x03595e94fae0b50e3cf01f3c3b322bcc8ea615ba,3608,82.87746666666666,25253.785484,2119.961976,5.1278051423215505,0.6406060706154987,xyz:SILVER
0x80bcb08c54bbd5abb37528425b1f8ad2507c9b62,3061,608.1188666666667,58921.992276,102836.467363,5.120571593385656,5.871814577462582,xyz:NATGAS
0x65d4a4b4b501478c3719453d28c9986094c5a444,1411,518.9219916666667,5732.2368414699995,5939.9545078,5.048778294714081,5.588076478258827,HYPE
0xb6256976d6898b3fffae5f02259b1c743f39e661,4964,223.5356,6561.62757191,16720.43843362,4.9616069722544855,3.7866016864364793,HYPE
0x65c252c410276e7aeb86154acf218b7ea6ca1ecf,865,100.22280833333333,47952.500888380004,106815.22943873,4.94696953881676,4.14950250426267,HYPE
0x60611fb67c167ee7a223655e355b15aa4951e43f,4084,150.09726666666666,9089.71772725,16246.38361251,4.867502511313396,3.6714005729709718,PUMP
0x0afe2b931a1f8b8772c22d07ad495c83df839465,427,626.5726333333333,35214.77551027,97207.07858732001,4.795951759538189,3.8930267012988677,LIT
0x36e6dab460411e402aed071915a21f5c2ff9f223,1483,1348.1128666666666,75601.760417,12819.852859999999,4.788286346998284,0.7689678909669796,xyz:BRENTOIL
0x40ebad3d5648f1e542376c0e7152bd4018c9ce35,490,2257.3325583333335,67533.476189,2125.634,4.776178504370531,1.2660086798738097,xyz:BRENTOIL
0xb7d0e665a00ebc680caeba73b70fad758045798f,9500,195.88753333333332,15565.815294,11577.67618373,4.749836844687829,4.103410705331724,BTC
0xb1c097f1d3b2ad21c3ebae67ba12d10f115b8598,4925,60.219166666666666,13759.20247327,11184.48757772,4.735500673631734,3.62231580730487,xyz:SPCX
0x57bf3b0f29e37619623994071c9e12091919675c,996,208.22976666666668,10625.18238674,2102.72942307,4.71183094462428,2.5167019561605986,BTC
0x8fd4f297e029ad0ee68a0d286aaf921668f93000,3910,58.49925833333333,20876.57981461,4231.62477468,4.711211345756216,2.4354317499202187,TAO
0x581bf7dcfd416450f3c26c7854253bd972ba0c2f,4057,93.34773333333334,2757.56811367,2491.80996753,4.702449266498212,6.693565764911919,BTC
0x06099985a803013201a28e8e378c5aeb31a47507,1224,427.66077499999994,56014.992137,4198.05336,4.701305838714833,3.189416427448939,xyz:CL
0x920abbd8a5f5d39e87ed802d73e5aa902dc71d89,3681,264.1918166666667,50799.2183991,18213.93393191,4.6953422410262915,1.4711261559251572,LIT
0x2e20df63f5ffb0578cf4ccc223cb3003a50200b1,395,2429.810683333333,19651.25983373,2978.25296466,4.650134734707678,1.774266427307212,HYPE
0x2afb0c3217a43db93eb01ee3362b752579510ff9,759,791.1685833333333,3787.28564101,5016.12788901,4.614003524949713,2.87680049752919,xyz:MSTR
0xdc7bf4d19f98e3082251a75938ce4775224b19bb,4334,262.6854,2301.74160654,1983.05220704,4.582004435439148,4.025464568616987,BTC
